دوره زمانی,sc,استخراج نفت,,,,پلایشگاه,,,,,,
,7,34.419,32.607,7.246,6178.151,36.230,38.042,13.586,7475.563,432.471,25.361,91089.010
,8,39.853,19.927,15.398,2429.233,59.780,33.513,6.340,2939.373,170.046,21.738,131960.275
,9,81.518,18.115,6.340,2757.117,82.424,12.681,10.869,3336.111,192.998,18.115,86666.211
,10,36.230,38.947,4.529,5330.365,68.837,10.869,8.152,6449.742,373.126,18.115,121630.145
,11,54.345,18.115,6.340,3569.578,27.173,34.419,17.209,4319.190,249.870,26.267,107715.039
,12,83.329,16.304,7.246,4039.665,64.309,12.681,9.058,4887.995,282.777,22.644,125117.300
,13,18.115,19.021,13.586,5208.994,54.345,19.021,15.398,6302.883,364.630,28.078,95603.290
,14,36.230,39.853,15.398,2522.526,29.890,14.492,5.435,3052.257,176.577,28.984,108048.357
,15,59.780,39.853,5.435,4556.851,76.083,40.759,17.209,5513.789,318.980,22.644,125732.307
,16,27.173,34.419,8.152,4199.078,50.722,26.267,6.340,5080.884,293.935,21.738,103075.765
,17,34.419,17.209,14.492,2667.447,62.497,32.607,4.529,3227.611,186.721,19.021,133716.533
,18,86.952,38.042,8.152,2271.632,51.628,10.869,13.586,2748.675,159.014,22.644,121874.699
,19,32.607,19.021,14.492,3211.805,67.026,19.927,11.775,3886.284,224.826,19.927,120712.616
,20,78.801,25.361,15.398,4532.395,25.361,29.890,13.586,5484.198,317.268,18.115,135778.936
,21,36.230,27.173,11.775,2480.861,15.398,20.832,5.435,3001.842,173.660,19.021,110464.004
,22,71.555,8.152,9.058,4786.912,75.178,16.304,6.340,5792.164,335.084,20.832,134588.774
,23,53.440,40.759,15.398,5640.133,74.272,14.492,12.681,6824.561,394.809,21.738,117732.684
,24,18.115,9.963,5.435,3029.749,76.083,22.644,13.586,3665.996,212.082,21.738,101463.522
,25,54.345,36.230,15.398,4617.536,62.497,12.681,8.152,5587.219,323.228,22.644,127254.880
,26,19.021,16.304,9.058,4599.421,40.759,12.681,10.869,5565.300,321.959,23.550,124021.337
,27,82.424,14.492,17.209,2872.147,76.083,40.759,13.586,3475.298,201.050,21.738,105389.967
,28,74.272,29.890,7.246,4928.210,65.214,38.042,4.529,5963.134,344.975,25.361,129828.129
45,1,66.054,24.431,17.192,3854.656,88.675,21.716,12.668,4664.133,269.826,22.621,107612.753
,2,56.101,35.289,9.048,2899.135,74.198,12.668,14.478,3507.954,202.939,32.575,121579.998
,3,82.341,27.145,9.048,3598.583,39.813,25.336,11.763,4354.286,251.901,19.002,131605.722
,4,83.246,40.718,13.573,4509.766,53.386,11.763,15.382,5456.817,315.684,17.192,124116.289
,5,23.526,37.099,5.429,5155.828,32.575,23.526,14.478,6238.552,360.908,19.907,110959.789
,6,29.860,37.099,14.478,3368.752,62.435,35.289,9.953,4076.190,235.813,21.716,101329.484
,7,34.384,32.575,7.239,6171.973,36.194,38.004,13.573,7468.087,432.038,25.336,90997.921
,8,39.813,19.907,15.382,2426.804,59.720,33.479,6.334,2936.433,169.876,21.716,131828.315
,9,81.436,18.097,6.334,2754.359,82.341,12.668,10.858,3332.775,192.805,18.097,86579.545
,10,36.194,38.908,4.524,5325.035,68.769,10.858,8.144,6443.292,372.752,18.097,121508.515
,11,54.291,18.097,6.334,3566.009,27.145,34.384,17.192,4314.871,249.621,26.241,107607.324
,12,83.246,16.287,7.239,4035.625,64.244,12.668,9.048,4883.107,282.494,22.621,124992.183
,13,18.097,19.002,13.573,5203.785,54.291,19.002,15.382,6296.580,364.265,28.050,95507.687
,14,36.194,39.813,15.382,2520.004,29.860,14.478,5.429,3049.204,176.400,28.955,107940.308
,15,59.720,39.813,5.429,4552.294,76.007,40.718,17.192,5508.276,318.661,22.621,125606.575
,16,27.145,34.384,8.144,4194.879,50.672,26.241,6.334,5075.803,293.642,21.716,102972.689
,17,34.384,17.192,14.478,2664.779,62.435,32.575,4.524,3224.383,186.535,19.002,133582.816
,18,86.865,38.004,8.144,2269.361,51.576,10.858,13.573,2745.926,158.855,22.621,121752.824
,19,32.575,19.002,14.478,3208.594,66.959,19.907,11.763,3882.398,224.602,19.907,120591.903
,20,78.722,25.336,15.382,4527.863,25.336,29.860,13.573,5478.714,316.950,18.097,135643.157
,21,36.194,27.145,11.763,2478.381,15.382,20.812,5.429,2998.841,173.487,19.002,110353.540
,22,71.483,8.144,9.048,4782.125,75.102,16.287,6.334,5786.372,334.749,20.812,134454.186
,23,53.386,40.718,15.382,5634.493,74.198,14.478,12.668,6817.736,394.415,21.716,117614.951
,24,18.097,9.953,5.429,3026.719,76.007,22.621,13.573,3662.330,211.870,21.716,101362.058
,25,54.291,36.194,15.382,4612.919,62.435,12.668,8.144,5581.632,322.904,22.621,127127.625
,26,19.002,16.287,9.048,4594.822,40.718,12.668,10.858,5559.734,321.638,23.526,123897.316
,27,82.341,14.478,17.192,2869.275,76.007,40.718,13.573,3471.823,200.849,21.716,105284.577
,28,74.198,29.860,7.239,4923.282,65.149,38.004,4.524,5957.171,344.630,25.336,129698.301
46,1,65.988,24.406,17.175,3850.801,88.586,21.695,12.655,4659.469,269.556,22.599,107505.140
,2,56.045,35.254,9.039,2896.236,74.123,12.655,14.463,3504.446,202.737,32.542,121458.418
,3,82.259,27.118,9.039,3594.985,39.774,25.310,11.751,4349.932,251.649,18.983,131474.116
,4,83.163,40.677,13.559,4505.256,53.333,11.751,15.367,5451.360,315.368,17.175,123992.173
,5,23.503,37.062,5.424,5150.672,32.542,23.503,14.463,6232.313,360.547,19.887,110848.829
,6,29.830,37.062,14.463,3365.383,62.372,35.254,9.943,4072.113,235.577,21.695,101228.154
,7,34.350,32.542,7.232,6165.801,36.158,37.966,13.559,7460.619,431.606,25.310,90906.923
,8,39.774,19.887,15.367,2424.377,59.660,33.446,6.328,2933.497,169.706,21.695,131696.486
,9,81.355,18.079,6.328,2751.605,82.259,12.655,10.847,3329.442,192.612,18.079,86492.965
,10,36.158,38.870,4.520,5319.710,68.700,10.847,8.135,6436.849,372.380,18.079,121387.006
,11,54.237,18.079,6.328,3562.443,27.118,34.350,17.175,4310.556,249.371,26.214,107499.717
,12,83.163,16.271,7.232,4031.590,64.180,12.655,9.039,4878.223,282.211,22.599,124867.190
,13,18.079,18.983,13.559,5198.581,54.237,18.983,15.367,6290.283,363.901,28.022,95412.179
,14,36.158,39.774,15.367,2517.484,29.830,14.463,5.424,3046.155,176.224,28.926,107832.368
,15,59.660,39.774,5.424,4547.742,75.931,40.677,17.175,5502.767,318.342,22.599,125480.968
,16,27.118,34.350,8.135,4190.684,50.621,26.214,6.328,5070.727,293.348,21.695,102869.716
,17,34.350,17.175,14.463,2662.115,62.372,32.542,4.520,3221.159,186.348,18.983,133449.233
,18,86.779,37.966,8.135,2267.091,51.525,10.847,13.559,2743.180,158.696,22.599,121631.071
,19,32.542,18.983,14.463,3205.385,66.892,19.887,11.751,3878.516,224.377,19.887,120471.311
,20,78.643,25.310,15.367,4523.335,25.310,29.830,13.559,5473.235,316.633,18.079,135507.514
,21,36.158,27.118,11.751,2475.902,15.367,20.791,5.424,2995.842,173.313,18.983,110243.186
,22,71.412,8.135,9.039,4777.343,75.027,16.271,6.328,5780.585,334.414,20.791,134319.731
,23,53.333,40.677,15.367,5628.858,74.123,14.463,12.655,6810.919,394.020,21.695,117497.336
,24,18.079,9.943,5.424,3023.692,75.931,22.599,13.559,3658.668,211.658,21.695,101260.696
,25,54.237,36.158,15.367,4608.306,62.372,12.655,8.135,5576.050,322.581,22.599,127000.498
,26,18.983,16.271,9.039,4590.227,40.677,12.655,10.847,5554.175,321.316,23.503,123773.418
,27,82.259,14.463,17.175,2866.406,75.931,40.677,13.559,3468.351,200.648,21.695,105179.293
,28,74.123,29.830,7.232,4918.359,65.084,37.966,4.520,5951.214,344.285,25.310,129568.602
47,1,65.922,24.382,17.158,3846.950,88.498,21.673,12.643,4654.810,269.287,22.576,107397.635
,2,55.988,35.219,9.030,2893.340,74.049,12.643,14.449,3500.941,202.534,32.509,121336.960
,3,82.177,27.091,9.030,3591.390,39.734,25.285,11.740,4345.582,251.397,18.964,131342.642
,4,83.080,40.637,13.546,4500.751,53.279,11.740,15.352,5445.909,315.053,17.158,123868.180
,5,23.479,37.025,5.418,5145.521,32.509,23.479,14.449,6226.081,360.187,19.867,110737.980
,6,29.800,37.025,14.449,3362.018,62.310,35.219,9.933,4068.041,235.341,21.673,101126.926
,7,34.316,32.509,7.224,6159.635,36.122,37.928,13.546,7453.159,431.174,25.285,90816.016
,8,39.734,19.867,15.352,2421.953,59.601,33.412,6.321,2930.563,169.537,21.673,131564.790
,9,81.274,18.061,6.321,2748.854,82.177,12.643,10.836,3326.113,192.420,18.061,86406.472
,10,36.122,38.831,4.515,5314.390,68.631,10.836,8.127,6430.412,372.007,18.061,121265.619
,11,54.182,18.061,6.321,3558.880,27.091,34.316,17.158,4306.245,249.122,26.188,107392.217
,12,83.080,16.255,7.224,4027.558,64.116,12.643,9.030,4873.345,281.929,22.576,124742.323
,13,18.061,18.964,13.546,5193.383,54.182,18.964,15.352,6283.993,363.537,27.994,95316.767
,14,36.122,39.734,15.352,2514.966,29.800,14.449,5.418,3043.109,176.048,28.897,107724.536
,15,59.601,39.734,5.418,4543.194,75.855,40.637,17.158,5497.265,318.024,22.576,125355.487
,16,27.091,34.316,8.127,4186.493,50.570,26.188,6.321,5065.657,293.055,21.673,102766.847
,17,34.316,17.158,14.449,2659.453,62.310,32.509,4.515,3217.938,186.162,18.964,133315.784
,18,86.692,37.928,8.127,2264.824,51.473,10.836,13.546,2740.437,158.538,22.576,121509.440
,19,32.509,18.964,14.449,3202.180,66.825,19.867,11.740,3874.637,224.153,19.867,120350.840
,20,78.564,25.285,15.352,4518.812,25.285,29.800,13.546,5467.762,316.317,18.061,135372.006
,21,36.122,27.091,11.740,2473.426,15.352,20.770,5.418,2992.846,173.140,18.964,110132.943
,22,71.340,8.127,9.030,4772.566,74.952,16.255,6.321,5774.805,334.080,20.770,134185.412
,23,53.279,40.637,15.352,5623.230,74.049,14.449,12.643,6804.108,393.626,21.673,117379.839
,24,18.061,9.933,5.418,3020.669,75.855,22.576,13.546,3655.009,211.447,21.673,101159.435
,25,54.182,36.122,15.352,4603.698,62.310,12.643,8.127,5570.474,322.259,22.576,126873.497
,26,18.964,16.255,9.030,4585.637,40.637,12.643,10.836,5548.620,320.995,23.479,123649.645
,27,82.177,14.449,17.158,2863.540,75.855,40.637,13.546,3464.883,200.448,21.673,105074.114
,28,74.049,29.800,7.224,4913.440,65.019,37.928,4.515,5945.263,343.941,25.285,129439.034
48,1,65.856,24.358,17.141,3843.103,88.409,21.651,12.630,4650.155,269.017,22.553,107290.238
,2,55.932,35.183,9.021,2890.447,73.975,12.630,14.434,3497.440,202.331,32.477,121215.623
,3,82.094,27.064,9.021,3587.798,39.694,25.260,11.728,4341.236,251.146,18.945,131211.299
,4,82.997,40.596,13.532,4496.250,53.226,11.728,15.336,5440.463,314.738,17.141,123744.312
,5,23.456,36.988,5.413,5140.376,32.477,23.456,14.434,6219.855,359.826,19.847,110627.242
,6,29.771,36.988,14.434,3358.656,62.247,35.183,9.924,4063.973,235.106,21.651,101025.799
,7,34.281,32.477,7.217,6153.476,36.085,37.890,13.532,7445.706,430.743,25.260,90725.200
,8,39.694,19.847,15.336,2419.531,59.541,33.379,6.315,2927.633,169.367,21.651,131433.225
,9,81.192,18.043,6.315,2746.105,82.094,12.630,10.826,3322.787,192.227,18.043,86320.066
,10,36.085,38.792,4.511,5309.076,68.562,10.826,8.119,6423.981,371.635,18.043,121144.354
,11,54.128,18.043,6.315,3555.321,27.064,34.281,17.141,4301.939,248.873,26.162,107284.825
,12,82.997,16.238,7.217,4023.531,64.052,12.630,9.021,4868.472,281.647,22.553,124617.581
,13,18.043,18.945,13.532,5188.189,54.128,18.945,15.336,6277.709,363.173,27.966,95221.450
,14,36.085,39.694,15.336,2512.451,29.771,14.434,5.413,3040.066,175.872,28.868,107616.811
,15,59.541,39.694,5.413,4538.651,75.779,40.596,17.141,5491.767,317.706,22.553,125230.132
,16,27.064,34.281,8.119,4182.307,50.520,26.162,6.315,5060.591,292.761,21.651,102664.080
,17,34.281,17.141,14.434,2656.793,62.247,32.477,4.511,3214.720,185.976,18.945,133182.468
,18,86.605,37.890,8.119,2262.559,51.422,10.826,13.532,2737.697,158.379,22.553,121387.931
,19,32.477,18.945,14.434,3198.977,66.758,19.847,11.728,3870.763,223.928,19.847,120230.489
,20,78.486,25.260,15.336,4514.293,25.260,29.771,13.532,5462.294,316.001,18.043,135236.634
,21,36.085,27.064,11.728,2470.953,15.336,20.749,5.413,2989.853,172.967,18.945,110022.810
,22,71.269,8.119,9.021,4767.793,74.877,16.238,6.315,5769.030,333.746,20.749,134051.226
,23,53.226,40.596,15.336,5617.606,73.975,14.434,12.630,6797.304,393.232,21.651,117262.459
,24,18.043,9.924,5.413,3017.648,75.779,22.553,13.532,3651.354,211.235,21.651,101058.276
,25,54.128,36.085,15.336,4599.094,62.247,12.630,8.119,5564.904,321.937,22.553,126746.624
,26,18.945,16.238,9.021,4581.051,40.596,12.630,10.826,5543.072,320.674,23.456,123525.995
,27,82.094,14.434,17.141,2860.676,75.779,40.596,13.532,3461.418,200.247,21.651,104969.039
,28,73.975,29.771,7.217,4908.527,64.954,37.890,4.511,5939.317,343.597,25.260,129309.595
49,1,65.790,24.333,17.123,3839.260,88.321,21.630,12.617,4645.505,268.748,22.531,107182.947
,2,55.877,35.148,9.012,2887.556,73.901,12.617,14.420,3493.943,202.129,32.444,121094.407
,3,82.012,27.037,9.012,3584.211,39.654,25.235,11.716,4336.895,250.895,18.926,131080.088
,4,82.914,40.556,13.519,4491.754,53.173,11.716,15.321,5435.022,314.423,17.123,123620.568
,5,23.432,36.951,5.407,5135.236,32.444,23.432,14.420,6213.635,359.466,19.827,110516.615
,6,29.741,36.951,14.420,3355.297,62.185,35.148,9.914,4059.909,234.871,21.630,100924.773
,7,34.247,32.444,7.210,6147.322,36.049,37.852,13.519,7438.260,430.313,25.235,90634.475
,8,39.654,19.827,15.321,2417.112,59.481,33.346,6.309,2924.705,169.198,21.630,131301.792
,9,81.111,18.025,6.309,2743.359,82.012,12.617,10.815,3319.464,192.035,18.025,86233.746
,10,36.049,38.753,4.506,5303.766,68.494,10.815,8.111,6417.557,371.264,18.025,121023.209
,11,54.074,18.025,6.309,3551.766,27.037,34.247,17.123,4297.637,248.624,26.136,107177.540
,12,82.914,16.222,7.210,4019.507,63.988,12.617,9.012,4863.603,281.365,22.531,124492.963
,13,18.025,18.926,13.519,5183.001,54.074,18.926,15.321,6271.431,362.810,27.938,95126.229
,14,36.049,39.654,15.321,2509.939,29.741,14.420,5.407,3037.026,175.696,28.840,107509.194
,15,59.481,39.654,5.407,4534.112,75.704,40.556,17.123,5486.276,317.388,22.531,125104.902
,16,27.037,34.247,8.111,4178.124,50.469,26.136,6.309,5055.530,292.469,21.630,102561.416
,17,34.247,17.123,14.420,2654.136,62.185,32.444,4.506,3211.505,185.790,18.926,133049.286
,18,86.519,37.852,8.111,2260.297,51.370,10.815,13.519,2734.959,158.221,22.531,121266.543
,19,32.444,18.926,14.420,3195.778,66.691,19.827,11.716,3866.892,223.704,19.827,120110.259
,20,78.407,25.235,15.321,4509.779,25.235,29.741,13.519,5456.832,315.685,18.025,135101.397
,21,36.049,27.037,11.716,2468.482,15.321,20.728,5.407,2986.863,172.794,18.926,109912.787
,22,71.198,8.111,9.012,4763.026,74.802,16.222,6.309,5763.261,333.412,20.728,133917.175
,23,53.173,40.556,15.321,5611.989,73.901,14.420,12.617,6790.506,392.839,21.630,117145.196
,24,18.025,9.914,5.407,3014.630,75.704,22.531,13.519,3647.703,211.024,21.630,100957.218
,25,54.074,36.049,15.321,4594.495,62.185,12.617,8.111,5559.339,321.615,22.531,126619.877
,26,18.926,16.222,9.012,4576.470,40.556,12.617,10.815,5537.529,320.353,23.432,123402.469
,27,82.012,14.420,17.123,2857.815,75.704,40.556,13.519,3457.957,200.047,21.630,104864.070
,28,73.901,29.741,7.210,4903.618,64.889,37.852,4.506,5933.378,343.253,25.235,129180.285
50,1,65.724,24.309,17.106,3835.421,88.233,21.608,12.605,4640.859,268.479,22.508,107075.764
,2,55.821,35.113,9.003,2884.669,73.827,12.605,14.405,3490.449,201.927,32.412,120973.313
,3,81.930,27.010,9.003,3580.626,39.615,25.209,11.704,4332.558,250.644,18.907,130949.008
,4,82.831,40.515,13.505,4487.262,53.120,11.704,15.306,5429.587,314.108,17.106,123496.947
,5,23.409,36.914,5.402,5130.100,32.412,23.409,14.405,6207.421,359.107,19.807,110406.098
,6,29.711,36.914,14.405,3351.942,62.123,35.113,9.904,4055.849,234.636,21.608,100823.849
,7,34.213,32.412,7.203,6141.175,36.013,37.814,13.505,7430.822,429.882,25.209,90543.840
,8,39.615,19.807,15.306,2414.694,59.422,33.312,6.302,2921.780,169.029,21.608,131170.490
,9,81.030,18.007,6.302,2740.615,81.930,12.605,10.804,3316.144,191.843,18.007,86147.512
,10,36.013,38.714,4.502,5298.463,68.425,10.804,8.103,6411.140,370.892,18.007,120902.186
,11,54.020,18.007,6.302,3548.214,27.010,34.213,17.106,4293.339,248.375,26.110,107070.362
,12,82.831,16.206,7.203,4015.487,63.924,12.605,9.003,4858.740,281.084,22.508,124368.470
,13,18.007,18.907,13.505,5177.818,54.020,18.907,15.306,6265.160,362.447,27.910,95031.103
,14,36.013,39.615,15.306,2507.429,29.711,14.405,5.402,3033.989,175.520,28.811,107401.685
,15,59.422,39.615,5.402,4529.578,75.628,40.515,17.106,5480.789,317.070,22.508,124979.797
,16,27.010,34.213,8.103,4173.946,50.419,26.110,6.302,5050.475,292.176,21.608,102458.854
,17,34.213,17.106,14.405,2651.482,62.123,32.412,4.502,3208.293,185.604,18.907,132916.237
,18,86.432,37.814,8.103,2258.036,51.319,10.804,13.505,2732.224,158.063,22.508,121145.276
,19,32.412,18.907,14.405,3192.583,66.625,19.807,11.704,3863.025,223.481,19.807,119990.148
,20,78.329,25.209,15.306,4505.269,25.209,29.711,13.505,5451.375,315.369,18.007,134966.296
,21,36.013,27.010,11.704,2466.013,15.306,20.708,5.402,2983.876,172.621,18.907,109802.875
,22,71.126,8.103,9.003,4758.263,74.728,16.206,6.302,5757.498,333.078,20.708,133783.258
,23,53.120,40.515,15.306,5606.377,73.827,14.405,12.605,6783.716,392.446,21.608,117028.051
,24,18.007,9.904,5.402,3011.616,75.628,22.508,13.505,3644.055,210.813,21.608,100856.261
,25,54.020,36.013,15.306,4589.900,62.123,12.605,8.103,5553.779,321.293,22.508,126493.257
,26,18.907,16.206,9.003,4571.894,40.515,12.605,10.804,5531.991,320.033,23.409,123279.067
,27,81.930,14.405,17.106,2854.958,75.628,40.515,13.505,3454.499,199.847,21.608,104759.206
,28,73.827,29.711,7.203,4898.715,64.824,37.814,4.502,5927.445,342.910,25.209,129051.105
51,1,65.659,24.285,17.089,3831.585,88.144,21.586,12.592,4636.218,268.211,22.486,106968.689
,2,55.765,35.078,8.994,2881.784,73.754,12.592,14.391,3486.959,201.725,32.380,120852.339
,3,81.848,26.983,8.994,3577.046,39.575,25.184,11.693,4328.225,250.393,18.888,130818.059
,4,82.748,40.474,13.491,4482.775,53.067,11.693,15.290,5424.158,313.794,17.089,123373.450
,5,23.385,36.877,5.397,5124.970,32.380,23.385,14.391,6201.214,358.748,19.788,110295.692
,6,29.681,36.877,14.391,3348.590,62.061,35.078,9.894,4051.794,234.401,21.586,100723.025
,7,34.178,32.380,7.195,6135.034,35.977,37.776,13.491,7423.391,429.452,25.184,90453.297
,8,39.575,19.788,15.290,2412.280,59.363,33.279,6.296,2918.859,168.860,21.586,131039.319
,9,80.949,17.989,6.296,2737.875,81.848,12.592,10.793,3312.828,191.651,17.989,86061.364
,10,35.977,38.676,4.497,5293.164,68.357,10.793,8.095,6404.729,370.521,17.989,120781.284
,11,53.966,17.989,6.296,3544.666,26.983,34.178,17.089,4289.046,248.127,26.084,106963.292
,12,82.748,16.190,7.195,4011.472,63.860,12.592,8.994,4853.881,280.803,22.486,124244.102
,13,17.989,18.888,13.491,5172.640,53.966,18.888,15.290,6258.895,362.085,27.882,94936.072
,14,35.977,39.575,15.290,2504.921,29.681,14.391,5.397,3030.955,175.344,28.782,107294.284
,15,59.363,39.575,5.397,4525.048,75.552,40.474,17.089,5475.308,316.753,22.486,124854.817
,16,26.983,34.178,8.095,4169.772,50.368,26.084,6.296,5045.424,291.884,21.586,102356.395
,17,34.178,17.089,14.391,2648.831,62.061,32.380,4.497,3205.085,185.418,18.888,132783.320
,18,86.346,37.776,8.095,2255.778,51.268,10.793,13.491,2729.492,157.904,22.486,121024.131
,19,32.380,18.888,14.391,3189.390,66.558,19.788,11.693,3859.162,223.257,19.788,119870.158
,20,78.251,25.184,15.290,4500.764,25.184,29.681,13.491,5445.924,315.053,17.989,134831.330
,21,35.977,26.983,11.693,2463.547,15.290,20.687,5.397,2980.892,172.448,18.888,109693.072
,22,71.055,8.095,8.994,4753.504,74.653,16.190,6.296,5751.740,332.745,20.687,133649.475
,23,53.067,40.474,15.290,5600.770,73.754,14.391,12.592,6776.932,392.054,21.586,116911.023
,24,17.989,9.894,5.397,3008.604,75.552,22.486,13.491,3640.411,210.602,21.586,100755.404
,25,53.966,35.977,15.290,4585.310,62.061,12.592,8.095,5548.226,320.972,22.486,126366.764
,26,18.888,16.190,8.994,4567.322,40.474,12.592,10.793,5526.459,319.713,23.385,123155.788
,27,81.848,14.391,17.089,2852.103,75.552,40.474,13.491,3451.044,199.647,21.586,104654.447
,28,73.754,29.681,7.195,4893.816,64.759,37.776,4.497,5921.517,342.567,25.184,128922.054
52,1,65.593,24.260,17.072,3827.754,88.056,21.565,12.579,4631.582,267.943,22.463,106861.720
,2,55.709,35.043,8.985,2878.902,73.680,12.579,14.377,3483.472,201.523,32.347,120731.487
,3,81.767,26.956,8.985,3573.469,39.535,25.159,11.681,4323.897,250.143,18.869,130687.241
,4,82.665,40.434,13.478,4478.292,53.013,11.681,15.275,5418.734,313.480,17.072,123250.077
,5,23.362,36.840,5.391,5119.845,32.347,23.362,14.377,6195.013,358.389,19.768,110185.396
,6,29.652,36.840,14.377,3345.241,61.999,35.043,9.884,4047.742,234.167,21.565,100622.302
,7,34.144,32.347,7.188,6128.899,35.941,37.738,13.478,7415.967,429.023,25.159,90362.843
,8,39.535,19.768,15.275,2409.868,59.303,33.246,6.290,2915.940,168.691,21.565,130908.280
,9,80.868,17.971,6.290,2735.137,81.767,12.579,10.782,3309.515,191.460,17.971,85975.303
,10,35.941,38.637,4.493,5287.871,68.289,10.782,8.087,6398.324,370.151,17.971,120660.503
,11,53.912,17.971,6.290,3541.121,26.956,34.144,17.072,4284.757,247.879,26.057,106856.329
,12,82.665,16.174,7.188,4007.461,63.796,12.579,8.985,4849.027,280.522,22.463,124119.858
,13,17.971,18.869,13.478,5167.468,53.912,18.869,15.275,6252.636,361.723,27.855,94841.136
,14,35.941,39.535,15.275,2502.416,29.652,14.377,5.391,3027.924,175.169,28.753,107186.989
,15,59.303,39.535,5.391,4520.523,75.477,40.434,17.072,5469.833,316.437,22.463,124729.962
,16,26.956,34.144,8.087,4165.602,50.318,26.057,6.290,5040.379,291.592,21.565,102254.039
,17,34.144,17.072,14.377,2646.182,61.999,32.347,4.493,3201.880,185.233,18.869,132650.537
,18,86.259,37.738,8.087,2253.523,51.216,10.782,13.478,2726.762,157.747,22.463,120903.107
,19,32.347,18.869,14.377,3186.201,66.491,19.768,11.681,3855.303,223.034,19.768,119750.288
,20,78.172,25.159,15.275,4496.263,25.159,29.652,13.478,5440.478,314.738,17.971,134696.498
,21,35.941,26.956,11.681,2461.084,15.275,20.666,5.391,2977.912,172.276,18.869,109583.379
,22,70.984,8.087,8.985,4748.751,74.578,16.174,6.290,5745.989,332.413,20.666,133515.825
,23,53.013,40.434,15.275,5595.170,73.680,14.377,12.579,6770.155,391.662,21.565,116794.112
,24,17.971,9.884,5.391,3005.595,75.477,22.463,13.478,3636.770,210.392,21.565,100654.649
,25,53.912,35.941,15.275,4580.725,61.999,12.579,8.087,5542.677,320.651,22.463,126240.397
,26,18.869,16.174,8.985,4562.754,40.434,12.579,10.782,5520.933,319.393,23.362,123032.632
,27,81.767,14.377,17.072,2849.251,75.477,40.434,13.478,3447.593,199.448,21.565,104549.793
,28,73.680,29.652,7.188,4888.922,64.694,37.738,4.493,5915.596,342.225,25.159,128793.132
53,1,65.527,24.236,17.055,3823.926,87.968,21.543,12.567,4626.950,267.675,22.441,106754.858
,2,55.653,35.008,8.976,2876.023,73.606,12.567,14.362,3479.988,201.322,32.315,120610.755
,3,81.685,26.929,8.976,3569.895,39.496,25.134,11.669,4319.573,249.893,18.850,130556.554
,4,82.582,40.394,13.465,4473.814,52.960,11.669,15.260,5413.315,313.167,17.055,123126.827
,5,23.339,36.803,5.386,5114.725,32.315,23.339,14.362,6188.818,358.031,19.748,110075.211
,6,29.622,36.803,14.362,3341.896,61.937,35.008,9.874,4043.694,233.933,21.543,100521.679
,7,34.110,32.315,7.181,6122.770,35.905,37.701,13.465,7408.551,428.594,25.134,90272.481
,8,39.496,19.748,15.260,2407.458,59.244,33.213,6.283,2913.024,168.522,21.543,130777.372
,9,80.787,17.953,6.283,2732.402,81.685,12.567,10.772,3306.206,191.268,17.953,85889.328
,10,35.905,38.598,4.488,5282.583,68.220,10.772,8.079,6391.926,369.781,17.953,120539.842
,11,53.858,17.953,6.283,3537.580,26.929,34.110,17.055,4280.472,247.631,26.031,106749.472
,12,82.582,16.157,7.181,4003.453,63.732,12.567,8.976,4844.178,280.242,22.441,123995.738
,13,17.953,18.850,13.465,5162.300,53.858,18.850,15.260,6246.383,361.361,27.827,94746.294
,14,35.905,39.496,15.260,2499.914,29.622,14.362,5.386,3024.896,174.994,28.724,107079.802
,15,59.244,39.496,5.386,4516.003,75.401,40.394,17.055,5464.363,316.120,22.441,124605.232
,16,26.929,34.110,8.079,4161.437,50.268,26.031,6.283,5035.339,291.301,21.543,102151.785
,17,34.110,17.055,14.362,2643.536,61.937,32.315,4.488,3198.678,185.047,18.850,132517.887
,18,86.173,37.701,8.079,2251.269,51.165,10.772,13.465,2724.036,157.589,22.441,120782.204
,19,32.315,18.850,14.362,3183.014,66.425,19.748,11.669,3851.448,222.811,19.748,119630.538
,20,78.094,25.134,15.260,4491.767,25.134,29.622,13.465,5435.038,314.424,17.953,134561.802
,21,35.905,26.929,11.669,2458.623,15.260,20.646,5.386,2974.934,172.104,18.850,109473.795
,22,70.913,8.079,8.976,4744.002,74.504,16.157,6.283,5740.243,332.080,20.646,133382.309
,23,52.960,40.394,15.260,5589.574,73.606,14.362,12.567,6763.385,391.270,21.543,116677.318
,24,17.953,9.874,5.386,3002.590,75.401,22.441,13.465,3633.134,210.181,21.543,100553.994
,25,53.858,35.905,15.260,4576.144,61.937,12.567,8.079,5537.135,320.330,22.441,126114.157
,26,18.850,16.157,8.976,4558.192,40.394,12.567,10.772,5515.412,319.073,23.339,122909.599
,27,81.685,14.362,17.055,2846.401,75.401,40.394,13.465,3444.146,199.248,21.543,104445.243
,28,73.606,29.622,7.181,4884.033,64.630,37.701,4.488,5909.680,341.882,25.134,128664.339
54,1,65.462,24.212,17.038,3820.102,87.880,21.522,12.554,4622.324,267.407,22.418,106648.103
,2,55.598,34.973,8.967,2873.147,73.532,12.554,14.348,3476.508,201.120,32.283,120490.145
,3,81.603,26.902,8.967,3566.325,39.456,25.109,11.658,4315.254,249.643,18.831,130425.997
,4,82.500,40.353,13.451,4469.340,52.908,11.658,15.245,5407.902,312.854,17.038,123003.700
,5,23.315,36.766,5.380,5109.611,32.283,23.315,14.348,6182.629,357.673,19.728,109965.136
